BRAND,BRAND_CODE,SERVING,SERVING_CODE,PRODUCTNAME,PROD_CODE,CONTENT
Wingstop,WG,Combo,WGCO,10BonelessCombor,WGCO10BO,10
Wingstop,WG,Combo,WGCO,10ClassicComboj,WGCO10CL,10
Wingstop,WG,pieces,WGPI,10pcBonelessr,WGPI10PC,10
Wingstop,WG,pieces,WGPI,10pcClassicj,WGPI10PC,10
Wingstop,WG,Combo,WGCO,10SplitComboj,WGCO10SP,10
Wingstop,WG,pieces,WGPI,12pcClassicj,WGPI12PC,12
Wingstop,WG,Combo,WGCO,15BonelessCombor,WGCO15BO,15
Wingstop,WG,Combo,WGCO,15ClassicComboj,WGCO15CL,15
Wingstop,WG,pieces,WGPI,15pcBonelessr,WGPI15PC,15
Wingstop,WG,pieces,WGPI,15pcClassicj,WGPI15PC,15
Wingstop,WG,Combo,WGCO,15SplitComboj,WGCO15SP,15
Wingstop,WG,pieces,WGPI,2pcCrispyTenders,WGPI2PCC,2
Wingstop,WG,Drinks,WGDR,20OzBeverage,WGDR20OZ,NA
Wingstop,WG,pieces,WGPI,20pcBonelessr,WGPI20PC,20
Wingstop,WG,pieces,WGPI,20pcClassicj,WGPI20PC,20
Wingstop,WG,pieces,WGPI,24pcFamilyBonelessr,WGPI24PC,24
Wingstop,WG,pieces,WGPI,24pcFamilyClassicj,WGPI24PC,24
Wingstop,WG,pieces,WGPI,24pcFamilySplitj,WGPI24PC,24
Wingstop,WG,packs,WGPA,25BWBigNiteinBundle,WGPA25BW,25
Wingstop,WG,Combo,WGCO,3CrispyTendersCombo,WGCO3CRI,3
Wingstop,WG,pieces,WGPI,3pcBonelessr,WGPI3PCB,3
Wingstop,WG,pieces,WGPI,3pcClassicj,WGPI3PCC,3
Wingstop,WG,pieces,WGPI,30pcClassicj,WGPI30PC,30
Wingstop,WG,pieces,WGPI,30pcFamilyBonelessr,WGPI30PC,30
Wingstop,WG,pieces,WGPI,30pcFamilyClassicj,WGPI30PC,30
Wingstop,WG,pieces,WGPI,30pcFamilySplitj,WGPI30PC,30
Wingstop,WG,Drinks,WGDR,32OzBeverage,WGDR32OZ,32
Wingstop,WG,pieces,WGPI,4pcCrispyTenders,WGPI4PCC,4
Wingstop,WG,pieces,WGPI,40pcFamilyClassicj,WGPI40PC,40
Wingstop,WG,pieces,WGPI,40pcFamilySplitj,WGPI40PC,40
Wingstop,WG,Combo,WGCO,5CrispyTendersCombo,WGCO5CRI,5
Wingstop,WG,pieces,WGPI,5pcBonelessr,WGPI5PCB,5
Wingstop,WG,pieces,WGPI,5pcClassicj,WGPI5PCC,5
Wingstop,WG,pieces,WGPI,50pcFamilyClassicj,WGPI50PC,50
Wingstop,WG,Combo,WGCO,6BonelessCombor,WGCO6BON,6
Wingstop,WG,Combo,WGCO,6ClassicComboj,WGCO6CLA,6
Wingstop,WG,Combo,WGCO,6SplitComboj,WGCO6SPL,6
Wingstop,WG,Combo,WGCO,8BonelessCombor,WGCO8BON,8
Wingstop,WG,Combo,WGCO,8ClassicComboj,WGCO8CLA,8
Wingstop,WG,pieces,WGPI,8pcBonelessr,WGPI8PCB,8
Wingstop,WG,pieces,WGPI,8pcClassicj,WGPI8PCC,8
Wingstop,WG,Combo,WGCO,8SplitComboj,WGCO8SPL,8
Wingstop,WG,pieces,WGPI,Add5BonelessWingsr,WGPIADD5,NA
Wingstop,WG,pieces,WGPI,Add5ClassicWingsJ,WGPIADD5,NA
Wingstop,WG,Sides,WGSI,BleuCheeseRegular,WGSIBLEU,NA
Wingstop,WG,Sides,WGSI,BuffaloFF,WGSIBUFF,NA
Wingstop,WG,Combo,WGCO,BWLunchCombor,WGCOBWLU,NA
Wingstop,WG,Sides,WGSI,CarrotSticks,WGSICARR,NA
Wingstop,WG,Sides,WGSI,CelerySticks,WGSICELE,NA
Wingstop,WG,Sides,WGSI,CheeseFriesRegular,WGSICHEE,NA
Wingstop,WG,Sides,WGSI,CheeseSauceMedium,WGSICHEE,NA
Wingstop,WG,Sides,WGSI,CheeseSauceRegular,WGSICHEE,NA
Wingstop,WG,Combo,WGCO,CLLunchComboj,WGCOCLLU,NA
Wingstop,WG,Sides,WGSI,FrenchFriesLarge,WGSIFREN,NA
Wingstop,WG,Sides,WGSI,FrenchFriesRegular,WGSIFREN,NA
Wingstop,WG,Sides,WGSI,FrenchFriesRegulare,WGSIFREN,NA
Wingstop,WG,Sides,WGSI,FriedCornLarge,WGSIFRIE,NA
Wingstop,WG,Sides,WGSI,FriedCornRegular,WGSIFRIE,NA
Wingstop,WG,Sides,WGSI,HoneyMustardRegular,WGSIHONE,NA
Wingstop,WG,Sides,WGSI,RanchLarge,WGSIRANC,NA
Wingstop,WG,Sides,WGSI,RanchRegular,WGSIRANC,NA
Wingstop,WG,Sides,WGSI,RollEach,WGSIROLL,NA
Wingstop,WG,Sides,WGSI,RollsHalfDozen,WGSIROLL,NA
Wingstop,WG,Sides,WGSI,Sauce,WGSISAUC,NA
Wingstop,WG,Desserts,WGDE,TripleChocolateBrownie,WGDETRIP,NA
Wingstop,WG,Drinks,WGDR,UpgradeDrink,WGDRUPGR,NA
Wingstop,WG,Sides,WGSI,VeggieSticks,WGSIVEGG,NA
Wingstop,WG,Sides,WGSI,VoodooFriesLarge,WGSIVOOD,NA
Wingstop,WG,Sides,WGSI,VoodooFriesRegular,WGSIVOOD,NA
